Kode Saham,Nama Perusahaan
BBCA,PT. Bank Central Asia Tbk
TPIA,PT. Chandra Asri Pacific Tbk
BREN,PT. Barito Renewables Energy Tbk
BYAN,PT. Bayan Resources Tbk
AMMN,PT. Amman Mineral Internasional Tbk
BBRI,PT. Bank Rakyat Indonesia (Persero) Tbk
BMRI,PT. Bank Mandiri (Persero) Tbk
DCII,PT. DCI Indonesia Tbk
DSSA,PT. Dian Swastatika Sentosa Tbk
TLKM,PT. Telkom Indonesia (Persero) Tbk
PANI,PT. Pantai Indah Kapuk Dua Tbk
ASII,PT. Astra International Tbk
BBNI,PT. Bank Negara Indonesia (Persero) Tbk
BRPT,PT. Barito Pacific Tbk
DNET,PT. Indoritel Makmur Internasional Tbk
CUAN,PT. Petrindo Jaya Kreasi Tbk
ICBP,PT. Indofood CBP Sukses Makmur Tbk
BRIS,PT. Bank Syariah Indonesia Tbk
SMMA,PT. Sinar Mas Multiartha Tbk
BNLI,PT. Bank Permata Tbk
AMRT,PT. Sumber Alfaria Trijaya Tbk
UNTR,PT. United Tractors Tbk
CPIN,PT. Charoen Pokphand Indonesia Tbk
ANTM,PT. Aneka Tambang Tbk
HMSP,PT. Hanjaya Mandala Sampoerna Tbk
INDF,PT. Indofood Sukses Makmur Tbk
KLBF,PT. Kalbe Farma Tbk
ISAT,PT. Indosat Tbk
MLPT,PT. Multipolar Technology Tbk
GOTO,PT. GoTo Gojek Tokopedia Tbk
UNVR,PT. Unilever Indonesia Tbk
PGEO,PT. Pertamina Geothermal Energy Tbk
BRMS,PT. Bumi Resources Minerals Tbk
AADI,PT. Adaro Andalan Indonesia Tbk
BELI,PT. Global Digital Niaga Tbk
GEMS,PT. Golden Energy Mines Tbk
ADRO,PT. Alamtri Resources Indonesia Tbk
SRAJ,PT. Sejahteraraya Anugrahjaya Tbk
CASA,PT. Capital Financial Indonesia Tbk
MBMA,PT. Merdeka Battery Materials Tbk
MDKA,PT. Merdeka Copper Gold Tbk
MYOR,PT. Mayora Indah Tbk
TBIG,PT. Tower Bersama Infrastructure Tbk
MTEL,PT. Dayamitra Telekomunikasi Tbk
BUMI,PT. Bumi Resources Tbk
